Fecha,Dia,Desc,Tipo
01-01-2023,Domingo,Año nuevo,Feriados inamovibles
20-02-2023,Lunes,Carnaval,Feriados inamovibles
21-02-2023,Martes,Carnaval,Feriados inamovibles
24-03-2023,Viernes,Día Nacional de la Memoria por la Verdad y la Justicia,Feriados inamovibles
02-04-2023,Domingo,Día del Veterano y de los Caídos en la Guerra de Malvinas,Feriados inamovibles
07-04-2023,Viernes,Viernes Santo,Feriados inamovibles
01-05-2023,Lunes,Día del Trabajador,Feriados inamovibles
25-05-2023,Jueves,Día de la Revolución de Mayo,Feriados inamovibles
20-06-2023,Martes,Paso a la Inmortalidad del General Manuel Belgrano,Feriados inamovibles
09-07-2023,Domingo,Día de la Independencia,Feriados inamovibles
08-12-2023,Viernes,Día de la Inmaculada Concepción de María,Feriados inamovibles
25-12-2023,Lunes,Navidad,Feriados inamovibles
17-06-2023,Sábado,Paso a la Inmortalidad del Gral. Don Martín Miguel de Güemes,Feriados transferibles
21-08-2023,Lunes,Paso a la Inmortalidad del Gral. José de San Martín (17/8),Feriados transferibles
16-10-2023,Lunes,Día del Respeto a la Diversidad Cultural (12/10),Feriados transferibles
20-11-2023,Lunes,Día de la Soberanía Nacional,Feriados transferibles
26-05-2023,Viernes,Feriados puentes,Feriados puentes
19-06-2023,Lunes,Feriados puentes,Feriados puentes
13-10-2023,Viernes,Feriados puentes,Feriados puentes
