Fecha,Dia,Desc,Tipo
1 de Enero,Sábado,Año Nuevo.,Inamovibles
28 de Febrero,Lunes,Carnaval.,Inamovibles
1 de Marzo,Martes,Carnaval.,Inamovibles
24 de Marzo,Jueves,Día Nacional de la Memoria por la Verdad y la Justicia.,Inamovibles
2 de Abril,Sábado,Día del Veterano y de los Caídos en la Guerra de Malvinas.,Inamovibles
15 de Abril,Viernes,Viernes Santo.,Inamovibles
1 de Mayo,Domingo,Día del Trabajador.,Inamovibles
18 de Mayo,Miércoles,Censo Nacional.,Inamovibles
25 de Mayo,Miércoles,Día de la Revolución de Mayo.,Inamovibles
20 de Junio,Lunes,Paso a la Inmortalidad del General Manuel Belgrano.,Inamovibles
9 de Julio,Sábado,Día de la Independencia.,Inamovibles
8 de Diciembre,Jueves,Día de la Inmaculada Concepción de María.,Inamovibles
25 de Diciembre,Domingo,Navidad.,Inamovibles
17 de Junio,Viernes,Paso a la Inmortalidad del General Don Martín Miguel de Güemes.,Trasladables
15 de Agosto,Lunes,Paso a la Inmortalidad del Gral. José de San Martín.,Trasladables
10 de Octubre,Lunes,Día del Respeto a la Diversidad Cultural.,Trasladables
20 de Noviembre,Domingo,Día de la Soberanía Nacional.,Trasladables
7 de Octubre,Viernes,Feriado Puente Turístico.,Puentes
21 de Noviembre,Lunes,Feriado Puente Turístico.,Puentes
9 de Diciembre,Viernes,Feriado Puente Turístico.,Puentes
