Fecha,Dia,Desc,Tipo
1 de Enero,Lunes,Año Nuevo.,Inamovibles
12 de Febrero,Lunes,Carnaval.,Inamovibles
13 de Febrero,Martes,Carnaval.,Inamovibles
24 de Marzo,Sábado,Día Nacional de la Memoria por la Verdad y la Justicia.,Inamovibles
29 de Marzo,Jueves,Jueves Santo.,Inamovibles
30 de Marzo,Viernes,Viernes Santo.,Inamovibles
2 de Abril,Lunes,Día del Veterano y de los Caídos en la Guerra de Malvinas.,Inamovibles
1 de Mayo,Martes,Día del Trabajador.,Inamovibles
25 de Mayo,Viernes,Día de la Revolución de Mayo.,Inamovibles
20 de Junio,Miércoles,Día Paso a la Inmortalidad del General Manuel Belgrano.,Inamovibles
9 de Julio,Lunes,Día de la Independencia.,Inamovibles
19 de Noviembre,Lunes,Día de la Soberanía Nacional (20/11).,Inamovibles
8 de Diciembre,Sábado,Inmaculada Concepción de María.,Inamovibles
25 de Diciembre,Martes,Navidad.,Inamovibles
17 de Junio,Domingo,Día Paso a la Inmortalidad del General Martín Miguel de Güemes.,Trasladables
20 de Agosto,Lunes,Paso a la Inmortalidad del General José de San Martín (17/08).,Trasladables
15 de Octubre,Lunes,Día del Respeto a la Diversidad Cultural (12/10).,Trasladables
31 de Marzo,Sábado,Pascuas Judías.,No Laborables
1 de Abril,Domingo,Pascuas Judías.,No Laborables
5 de Abril,Jueves,Pascuas Judías.,No Laborables
6 de Abril,Viernes,Pascuas Judías.,No Laborables
7 de Abril,Sábado,Pascuas Judías.,No Laborables
24 de Abril,Martes,Día de Acción por la Tolerancia y el Respeto entre los Pueblos.,No Laborables
10 de Septiembre,Lunes,Año Nuevo Judío.,No Laborables
11 de Septiembre,Martes,Año Nuevo Judío.,No Laborables
