Fecha,Dia,Desc,Tipo
1 de Enero,Viernes,Año Nuevo.,Inamovibles
15 de Febrero,Lunes,Carnaval.,Inamovibles
16 de Febrero,Martes,Carnaval.,Inamovibles
24 de Marzo,Miércoles,Día Nacional de la Memoria por la Verdad y la Justicia.,Inamovibles
2 de Abril,Viernes,Viernes Santo.,Inamovibles
1 de Mayo,Sábado,Día del Trabajador.,Inamovibles
25 de Mayo,Martes,Día de la Revolución de Mayo.,Inamovibles
20 de Junio,Domingo,Paso a la Inmortalidad del General Manuel Belgrano.,Inamovibles
9 de Julio,Viernes,Día de la Independencia.,Inamovibles
8 de Diciembre,Miércoles,Inmaculada Concepción de María.,Inamovibles
25 de Diciembre,Sábado,Navidad.,Inamovibles
21 de Junio,Lunes,Paso a la Inmortalidad del General Manuel Belgrano.,Trasladables
16 de Agosto,Lunes,Paso a la Inmortalidad del Gral. José de San Martín.,Trasladables
11 de Octubre,Lunes,Día del Respeto a la Diversidad Cultural.,Trasladables
20 de Noviembre,Sábado,Día de la Soberanía Nacional.,Trasladables
24 de Mayo,Lunes,Feriado Puente Turístico.,Puentes
8 de Octubre,Viernes,Feriado Puente Turístico.,Puentes
22 de Noviembre,Lunes,Feriado Puente Turístico.,Puentes
