Fecha,Dia,Desc,Tipo
01-01-2024,Lunes,Año nuevo,Feriados inamovibles
12-02-2024,Lunes,Carnaval,Feriados inamovibles
13-02-2024,Martes,Carnaval,Feriados inamovibles
24-03-2024,Domingo,Día Nacional de la Memoria por la Verdad y la Justicia,Feriados inamovibles
29-03-2024,Viernes,Viernes Santo,Feriados inamovibles
02-04-2024,Martes,Día del Veterano y de los Caídos en la Guerra de Malvinas,Feriados inamovibles
01-05-2024,Miércoles,Día del Trabajador,Feriados inamovibles
25-05-2024,Sábado,Día de la Revolución de Mayo,Feriados inamovibles
20-06-2024,Jueves,Paso a la Inmortalidad del General Manuel Belgrano,Feriados inamovibles
09-07-2024,Martes,Día de la Independencia,Feriados inamovibles
08-12-2024,Domingo,Día de la Inmaculada Concepción de María,Feriados inamovibles
25-12-2024,Miércoles,Navidad,Feriados inamovibles
17-06-2024,Lunes,Paso a la Inmortalidad del General Martín Güemes,Feriados transferibles
17-08-2024,Sábado,Paso a la Inmortalidad del Gral. José de San Martín,Feriados transferibles
12-10-2024,Sábado,Día del Respeto a la Diversidad Cultural,Feriados transferibles
18-11-2024,Lunes,Día de la Soberanía Nacional,Feriados transferibles
01-04-2024,Lunes,Feriados puentes,Feriados puentes
21-06-2024,Viernes,Feriados puentes,Feriados puentes
11-10-2024,Viernes,Feriados puentes,Feriados puentes
